navn,kjøkken_navn,sortering,justerbar
Ananas,Ananas,1,1
Bacon,Bacon,2,1
Biff,Biff,3,1
Cherrytomater,Cherrytomater,4,1
Chiliflakes,Chiliflakes,5,1
Chorizopølse,Chorizopølse,6,1
Crispy chilibacon,Crispy chilibacon,7,1
Fersk champignon,Fersk champignon,8,1
Hvitløkskjøttboller,Hvitløkskjøttboller,10,1
Jalapeños,Jalapeños,11,1
Kebabkjøtt,Kebabkjøtt,12,1
Kjøttdeig,Kjøttdeig,13,1
Løk,Løk,14,1
Mais,Mais,15,1
Marinert kylling,Marinert kylling,16,1
Marinert pepperbiff,Marinert pepperbiff,17,1
Nacho-chips,Nacho-chips,18,1
Oliven,Oliven,19,1
Oregano-dryss,Oregano-dryss,20,1
Paprika,Paprika,21,1
Peppermiks,Peppermiks,22,1
Pepperoni,Pepperoni,23,1
Rødløk,Rødløk,24,1
Salami,Salami,25,1
Skinke,Skinke,26,1
Skinketerninger,Skinketerninger,27,1
Spekepepperoni,Spekepepperoni,28,1
Tandorimarinert kylling,Tandorimarinert kylling,30,1
