nummer,navn,pris_medium,pris_large,pris_glutenfri,beskrivelse
1,MILLENIUM,249.0,329.0,308.0,"Kjøttdeig, bacon & løk"
2,VEGETARIANA,234.0,309.0,293.0,"Løk, paprika, fersk champignon, cherrytomater, ananas, mais & oliven"
3,SPESIAL,254.0,339.0,313.0,"Biff, skinke, salami, fersk champignon, løk & fersk paprika"
4,SATURDAY NIGHT SPESIAL,259.0,349.0,318.0,"Biff, paprika, fersk champignon, løk"
5,TROPICANA,249.0,329.0,308.0,Pepperoni & ananas
6,CHICAGO WAY,234.0,309.0,293.0,Skinke & fersk champignon
7,TACO KID,249.0,335.0,308.0,"Tacokjøtt, fersk paprika, mais, løk & nacho-chips"
8,KEBAB SPESIAL,254.0,329.0,313.0,"Halal kebabkjøtt, fersk paprika & mais"
9,SPANISH HOT,254.0,339.0,313.0,"Marinert pepperbiff, marinert kylling, rødløk og flakes"
10,EXPRESS TRIPPEL,254.0,339.0,313.0,"Pepperoni, salami, kjøttdeig & løk"
12,SCANDINAVIA,229.0,305.0,288.0,Skinke i terninger
13,SETT SAMMEN,264.0,349.0,323.0,Din egen pizza
15,TANDOORI,259.0,344.0,318.0,"Tandorimarinert kylling, fersk paprika, mais & løk"
16,EKSTRA HOTTY,259.0,344.0,318.0,"Jalapeños, marinert biff, spekepepperoni, skinketerninger, fersk paprika, løk & dryss med peppermiks"
17,HUSETS VALG,259.0,344.0,318.0,"Spekepepperoni, skinketerninger, biff, campignon, løk & oregano-dryss"
18,PARADISIO,259.0,339.0,318.0,"Marinert kylling, skinketerninger, cherrytomater & løk"
19,BELLA,259.0,339.0,318.0,"Biff, skinke & bacon"
21,CHICKEN MEXICANA,259.0,344.0,318.0,"Marinert kylling, nacho-chips, fersk paprika, løk & jalapeños"
22,BARCELONA,259.0,344.0,318.0,"Marinert pepperbiff, chorizopølse, hvitløkskjøttboller, chiliflakes & rødløk"
23,NEWYORKER,259.0,339.0,318.0,"Crispy chilibacon, skinke, marinert kylling, cherrytomater & chiliflakes"
24,MEATLOVERS,264.0,349.0,323.0,"Chorizopølse, hvitløkskjøttboller, skinke, peppermarinert biff & crispy chilibacon"
